,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
513,0x6a3eb79e1c4023f1610ff046c5dc30f9790d326f,242722,13781,594754,1.6095819500711068e+24,1e+22,0.0,normal
514,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,4716858,930690,7318283,1.2970606153525514e+25,4e+22,0.0,likely anomaly
515,0x925ea5af075bde17811e4bcdc198dc5d3675e466,553,12,326722,2.4671055446362762e+17,4000000000000000.0,0.0,normal
516,0xa7f3659c53820346176f7e0e350780df304db179,7,9,106745,1.017559497e+23,5.548e+21,0.0,normal
517,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,194,58,189886,5.9269449014718284e+23,2.0068e+22,0.0,normal
518,0x6485fc77be2186fc60feea38d0ef4331d8404b60,318,11,331901,1.2046004e+22,1e+22,0.0,normal
519,0x7eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2,3,7,165499,0.0,0.0,0.0,normal
520,0x464b0b37db1ee1b5fbe27300acfbf172fd5e4f53,2302,30,132621,4.825405198043665e+22,1.14e+20,0.0,normal
521,0x30d8ad7cbfaca59d423b2346b81dbbda36e4f1c3,2,13,198905,1e+19,1e+19,0.0,normal
522,0xa4e5961b58dbe487639929643dcb1dc3848daf5e,981848,973818,1166070,1.015400808105e+22,2.2e+20,0.0,normal
523,0x32be343b94f860124dc4fee278fdcbd38c102d88,593912,29346,1537781,1.360638458697033e+26,1.4e+24,0.0,likely anomaly
524,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,341935,307767,5011884,4.745613214122074e+23,2.5e+23,0.0,normal
525,0xf6da21e95d74767009accb145b96897ac3630bad,2127,3,128380,1.3434280895662468e+23,4.2e+20,0.0,normal
526,0xf16e77a989529aa4c58318acee8a1548df3fccc1,184,3,100693,1e+16,1e+16,0.0,normal
527,0x912fd21d7a69678227fe6d08c64222db41477ba0,577658,91619,1304552,1.0048152871410168e+24,2.700257704e+22,0.0,normal
528,0x079a892628ebf28d0ed8f00151cff225a093dc63,120321,67135,389079,1.6967494154078552e+24,3.002082e+22,0.0,normal
529,0x03cf2fd02edcf3875f7d59328efc87c00f3da244,46,13,199832,0.0,0.0,0.0,normal
530,0x7182b123ad5f6619b66533a85b6f180462aed05e,38295,3752,170385,2.221074020951291e+22,4.5654769498911375e+19,0.0,normal
531,0xceceaa8edc0830c7cec497e33bb3a3c28dd55a32,3,31,1908247,4.5039496277814305e+19,4.5039239280866796e+19,0.0,normal
532,0x003fd5f6030b8c1a4d2503339b14466b9ba6c6cf,6,2,233919,3.655396827300332e+20,2.4347982481969578e+20,0.0,normal
533,0x66396b3c3d8446e364e805cb0e8c310dddff685e,13085,34825,106630,7.409468680097e+22,1e+21,0.0,normal
534,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,25731,12863,359541,2.4934718480104544e+23,2.2e+21,0.0,normal
535,0xba826fec90cefdf6706858e5fbafcb27a290fbe0,58075,35,985691,2.77275e+20,2.7714e+20,0.0,normal
536,0xe269e891a2ec8585a378882ffa531141205e92e9,411,8,199358,5.058130794990023e+20,1e+20,0.0,normal
537,0xdb34bdbc8937b137e3b78dbc20de23b560db7376,5,4,530805,3.06e+18,1e+18,0.0,normal
538,0xd5e015739a8befff075c4eaa2013d27df35ffddc,2,4,183128,0.0,0.0,0.0,normal
539,0x8595dd9e0438640b5e1254f9df579ac12a86865f,41792,17,655055,9.694477520488521e+22,3.765442761047395e+20,0.0,normal
540,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,47214,9561,280611,8.323949390394057e+24,2.0781716499e+23,0.0,normal
541,0xd2349d84187580c73f1c77669f6f409dc425c3a3,19179,30749,106697,1.4555730480878173e+22,9.97918e+20,0.0,normal
542,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,1983,20,236085,2.136675129829319e+22,1.01e+20,0.0,normal
543,0x710bda329b2a6224e4b44833de30f38e7f81d564,23,16,1003258,4.172386486279391e+22,4.3e+21,0.0,normal
544,0x68841a1806ff291314946eebd0cda8b348e73d6d,2,17,251513,0.0,0.0,0.0,normal
545,0x30741289523c2e4d2a62c7d6722686d14e723851,442,11,136078,6.723770577348377e+19,6e+19,0.0,normal
546,0x79b7a69d90c82e014bf0315e164208119b510fa0,72,18,113367,4.2104934065256855e+21,6.293349164e+20,0.0,normal
547,0x43fda7708c97c4c40d5402c6392f0457f23c0b8e,31267,1,104987,6.162443432240682e+20,6.116682e+16,13664062144498.0,normal
548,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,3026834,993,6909218,2.062732190842416e+25,4.967345904e+22,0.0,normal
549,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,11040,14,303762,1.4128487247923618e+24,4e+20,0.0,normal
550,0x2759bc7b8f9f2b47eeeffb2f5751e0cff3ff1ad8,46972,57,206139,2.392633392443e+22,1.207587151e+19,0.0,normal
551,0xaaa52a5d3b960e0ab0e9fcd4f23aebea6541f5f9,13903,4,147456,5.0820740782691425e+20,1.6332407826914245e+19,0.0,normal
552,0x91aae0aafd9d2d730111b395c6871f248d7bd728,9,10,1024950,4.5701284948199967e+18,2.6701284948199967e+18,0.0,normal
553,0xcce8d59affdd93be338fc77fa0a298c2cb65da59,32439,33700,147405,1.839049893355591e+23,6.4999e+20,0.0,normal
554,0x343295b49522cfc38af517c58ebb78565c42ed95,73329,1,192223,2.2693290301368828e+24,5.920681175435639e+19,0.0,normal
555,0x27899fface558bde9f284ba5c8c91ec79ee60fd6,159336,509,494920,6.1046241999910406e+22,5.001955787503689e+19,0.0,normal
556,0x6c69fa64ec451b1bc5b5fbaa56cf648a281634be,577,21,404731,6.9556595e+17,1.690148e+16,0.0,normal
557,0x9bc2f223026c252c8ef5f7f33f00f4bee21434b8,19883,23548,269054,1.209195389683097e+23,4.15434915e+20,0.0,normal
558,0x49876520c866d138dd749d6c2c33e4da5bfaec66,25826,3,221717,1.4160067192747e+21,1.71801746447e+19,147720000000000.0,normal
559,0xfe44daeb65166846fccb3f4aa7186e36247b1c1e,73993,38987,116381,1.015334104508932e+22,3.5e+20,0.0,normal
560,0xa83b11093c858c86321fbc4c20fe82cdbd58e09e,2018,2,124904,5.397632416198999e+18,2.8582934143448136e+16,0.0,normal
561,0x80c67432656d59144ceff962e8faf8926599bcf8,387011,547376,841828,4.9294895459713304e+23,1.18e+21,0.0,normal
562,0x9fcafcca8aec0367abb35fbd161c241f7b79891b,100815,28891,328363,2.524758199361241e+24,2.300052918641e+22,0.0,normal
563,0xd3273eba07248020bf98a8b560ec1576a612102f,230512,67,361990,6.768126379773094e+23,6e+20,0.0,normal
564,0xeba290cf248cb14442a071fbcb58a9cc5dcde28e,55798,123908,578458,3.22253330292581e+24,1.0689e+22,0.0,normal
565,0x87cbc48075d7aa1760ac71c41e8bc289b6a31f56,75143,69,416206,1.7386306597647668e+23,2.0369835334e+21,0.0,normal
566,0xaa364c1a348f9517009207a1601e0a73c1cd530b,45034,821,150249,2.693352560085635e+22,3.0608472106e+20,0.0,normal
567,0x9228624c3185fcbcf24c1c9db76d8bef5f5dad64,2,12,409893,2e+18,2e+18,0.0,normal
568,0x005fde5294199d5c3eb5eb7a6e51954123b74b1c,69,8,110147,2.2879439721657467e+22,6e+19,0.0,normal
569,0xff1b9745f68f84f036e5e92c920038d895fb701a,46,9,360854,1.781221803938193e+20,1.352539942805754e+20,0.0,normal
570,0xf3e36ad56aa85abdacc18c02d19509ae4f7d5899,28840,7126,186162,1.2918409961820238e+24,8.999992e+21,0.0,normal
571,0x9da1299767a3a1b20fbc9fa6158f37deb4965f50,7,6,120781,4.5077045195798395e+18,4.5017045195798395e+18,0.0,normal
572,0x2b5634c42055806a59e9107ed44d43c426e58258,541292,231716,2343781,5.831799577443316e+24,1.0001e+22,0.0,normal
573,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,752327,223031,793225,1.5462680293014725e+24,2.436213e+22,0.0,normal
574,0x24ba1542f8a0a20e8251d096213384cfb0ee3dbc,27015,59760,152318,8.004226107400117e+22,1.82632298080355e+21,0.0,normal
575,0x2cedf8de3933d71c77bf3c08b8d1af32545d9b0d,6,2,282755,5.624068593997952e+18,4.624068593997952e+18,0.0,normal
576,0xf1cd602e6d16f50a4a2bba174b7f6e305b0f6b37,18,4,139059,4.663661304e+18,4.4e+18,0.0,normal
577,0x8d56f551b44a6da6072a9608d63d664ce67681a5,117759,61,237337,1.5275646581078465e+23,2.9103281253753654e+20,0.0,normal
578,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,56707,20385,110099,4.156117427801491e+24,1.19999e+23,0.0,normal
579,0x1d0f12e3546e4734d7521a46ed02ef2c2df51e59,79,13,267359,3.2386598764823335e+19,1e+19,0.0,normal
580,0x5e575279bf9f4acf0a130c186861454247394c06,49623,43759,397716,7.71943e+20,2e+20,0.0,normal
581,0x303e33b483b5df3148cb2eaa1c17c486531ddf31,81388,253,145884,4.022915672585349e+24,1e+23,0.0,normal
582,0x794d28ac31bcb136294761a556b68d2634094153,140628,69679,192567,5.868269144608739e+24,1e+22,0.0,normal
583,0xcc01e3dee425279c30c4a0b8eaf7ac4c07dd434b,16665,56623,183086,6.379447541350628e+23,1.4561491e+22,0.0,normal
584,0x3e65303043928403f8a1a2ca4954386e6f39008c,82919,20618,169570,2.1854135248724798e+23,1.0404578294093543e+21,0.0,normal
585,0x782ebc58ec15c24630ae4ad32b4cc128679d071e,69651,20,118342,2.7238051020985e+23,1.9495799e+21,0.0,normal
586,0x1f8cdd31345faa00bbdf946fa257b7feb706b535,9,8,127909,7.871085e+18,7.871085e+18,0.0,normal
587,0xcbd6832ebc203e49e2b771897067fce3c58575ac,139643,112557,742815,8.178694625776701e+23,4.3e+21,10000000000.0,normal
588,0xf91967b8f084de85c6785e4ea6b3540a7b3ad64d,5,6,384903,5.092496e+18,4e+18,0.0,normal
589,0xa6807d794411d9a80bc435dfc4cda0ba0ddde979,2,4,130471,0.0,0.0,0.0,normal
590,0x2fc617e933a52713247ce25730f6695920b3befe,150133,176710,280307,1.10515695141994e+23,3e+20,0.0,normal
591,0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,12366,34667,105860,1.3256442031087417e+23,1.99999e+21,0.0,normal
592,0x4675c7e5baafbffbca748158becba61ef3b0a263,270,224,137967,6.1247653055130335e+22,5.8722782914987085e+20,0.0,normal
593,0x0197abe48f0a9826d10f44dad7050f26586eb9ba,6,2,199701,5.079337970079883e+20,1.8654882953172622e+20,0.0,normal
594,0xbbd0d4d067d5af2065b1b6fd936d93237ae1c56c,175517,61,433638,1.7783106962494164e+23,4.903377457887879e+19,0.0,normal
595,0x21c3de23d98caddc406e3d31b25e807addf33633,3,7,294949,1.20001e+20,1.2e+20,0.0,normal
596,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,1336,2,124092,3.927142766198936e+18,3.2173027973879424e+16,0.0,normal
597,0xfb90501083a3b6af766c8da35d3dde01eb0d2a68,59009,1018,335414,5.163731264543e+23,1.014e+22,0.0,normal
598,0x2a65aca4d5fc5b5c859090a6c34d164135398226,106490,34,4662729,4.75709901245529e+24,1.375e+22,0.0,normal
599,0xed9878336d5187949e4ca33359d2c47c846c9dd3,18,4,153316,1.690912260376916e+20,4.7e+19,0.0,normal
600,0xf509accd096a82ef2562d316669d0aa4b60f3796,70382,173,285134,3.193509724254721e+21,6e+20,0.0,normal
601,0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7,663043,1837890,1611827,5.406379860097502e+23,2.4643e+21,0.0,normal
602,0xf726dc178d1a4d9292a8d63f01e0fa0a1235e65c,94774,6452,172834,2.4917169757815467e+24,1.495e+22,0.0,normal
603,0x37b94141bca7000241b87b4b361f155197181002,4,4,203714,0.0,0.0,0.0,normal
604,0x6666662ac054fed267a5818001104eb0b5e8bab3,1,2,349532,0.0,0.0,0.0,normal
605,0x003e36550908907c2a2da960fd19a419b9a774b7,76443,253,150297,1.1448375248134485e+23,6.877011219300015e+21,0.0,normal
606,0x777f415324d56e1d54fa832902d8797db7a4c57c,30464,49206,119013,2.761907729472225e+23,1.70918333e+21,0.0,normal
607,0x03599a2429871e6be1b154fb9c24691f9d301865,128986,43,816145,1.2186750488696366e+22,1.9533e+18,0.0,normal
608,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,19,179,3274184,6.410827356316385e+21,5.4e+19,0.0,normal
609,0xc3348b43d3881151224b490e4aa39e03d2b1cdea,29702,6,163069,2.79716376721506e+22,3.999958931252011e+20,0.0,normal
610,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,244565,254238,349018,1.0810629738517468e+25,4.2633e+22,0.0,normal
611,0x0124d0fa0dfb1430dfcff16ec6a96945e7a0bc10,17,2,107467,4.73e+19,3.2e+19,0.0,normal
612,0x3018018c44338b9728d02be12d632c6691e020d1,51562,2,396215,1.5472810110842293e+20,1.9414423652322e+16,0.0,normal
613,0x5f42801ac21677008433d70f1060831ff2a04602,41490,5,111391,1.5906415564e+20,2.99639432e+18,428080000000000.0,normal
614,0x691e3cbb2a8f504fc650f21c9af6226051340559,71633,49,247057,1.9928762329691386e+23,1.6495025e+21,0.0,normal
615,0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,63904,48,117814,5.005091274266e+22,2.4e+20,0.0,normal
616,0xac94a69b0996c8edcf19cb7548a644836cb77509,69,6,266005,3.674544195931346e+20,1e+20,0.0,normal
617,0x21dd5c13925407e5bcec3f27ab11a355a9dafbe3,19751,32201,149579,4.6329900588687436e+21,1.2642142247813194e+20,0.0,normal
618,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,214181,23801,984661,3.753061416788501e+24,7.4199983e+22,0.0,normal
619,0x8c54ebdd960056d2cff5998df5695daca1fc0190,3470,8,109572,1.780165632757453e+21,1.4687466476927514e+21,0.0,normal
620,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,4,6,198800,445782813781.0,16776960.0,0.0,normal
621,0xd2c263b8a82820809b2fe41bc20ac1daff0d7e9f,684,10,120565,1.91541327277e+21,6.21e+20,0.0,normal
622,0x5b6122c109b78c6755486966148c1d70a50a47d7,1,13,103298,0.0,0.0,0.0,normal
623,0xff59364722a4622a8d33623548926375b1b07767,32,7,123698,7.709004926492272e+19,7.589620596727441e+19,0.0,normal
624,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,8,16,519581,2.13152935443072e+21,7.537586062182364e+19,0.0,normal
625,0x4f0bafb34818ff5b3ab3d90393208da66a5e1df1,5,4,138807,1.4703831214688317e+19,9.303831214688317e+18,0.0,normal
626,0x23f4569002a5a07f0ecf688142eeb6bcd883eef8,210320,57330,551193,1.2305744414117626e+23,6.768887934444422e+20,0.0,normal
627,0x65e2c5175e2e618f48e70343b14c31b280e42d90,109421,46780,152728,7.049324295992906e+23,5.29999042e+21,0.0,normal
628,0x0000bf7f4e4b7fb2315fc6d5d0f8854c91dff1d8,51651,21,101923,1.2513030815634374e+21,4.6802259305678455e+19,0.0,normal
629,0xe4b3dd9839ed1780351dc5412925cf05f07a1939,66899,64043,161586,9.9772537789251e+23,1.5e+22,0.0,normal
630,0x03c8bd564f44d149bc38d06d2bec32b71c805066,2888,481,164571,3.5208326076e+19,1e+19,0.0,normal
631,0xcfc0f98f30742b6d880f90155d4ebb885e55ab33,236024,122,1262162,2.8152373705740877e+23,2.535278e+22,0.0,normal
632,0x9862d074e33003726fa05c74f0142995f33a3250,117688,22,570090,4.4536263031864e+23,1e+21,0.0,normal
633,0x05b57d05b11436e828a43867cb95de4f589d0b9a,148047,7,275004,6.316971548739109e+20,4e+19,0.0,normal
634,0xf9cafeb32467994e3affd61e30865e5ab32abe68,30,11,105261,8.024070999361728e+19,8e+18,0.0,normal
635,0xd3eb5f41be4944cff7dae06991ec43f7c07f1ce6,2,3,101943,5.10905335e+18,5.10905335e+18,0.0,normal
636,0xce0a5945a2e7163568221186da084ad34edad14f,4634,84,128204,1.2630330296059686e+20,7.096801633296146e+18,0.0,normal
637,0xc7c537317577cd5100448ff6b0baaf501f27f199,10296,22,182016,3.164709355144e+22,8.7e+19,100000000000.0,normal
638,0x6d0cf1f651f5ae585d24dcaa188d44e389e93d26,4822,2,101737,1.1316187339050123e+19,3.10464e+16,0.0,normal
639,0xc9610be2843f1618edfedd0860dc43551c727061,124216,40658,166985,4.412521185731448e+24,1.99999988e+22,0.0,normal
640,0x5c8a9f68eff7df9f291ce8408b797c4e7b9a95cb,8532,7399,102373,2.527234985e+23,8.775e+21,0.0,normal
