,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
48,KT1DqhpvkfyBySVR4KV8Yu3K3jGSmLy7PTbr,32,373,71771,0.0,0.0,0.0,normal
49,tz1c2yBQNrofzKvKLouC9TqHELSnh64fm8dn,10121,3808,30637,33771858721688.0,500000000000.0,110000.0,normal
50,KT1FHiJmJUgZMPtv5F8M4ZEa6cb1D9Lf758T,1324,1701,35585,944599881960.0,12758004944.0,0.0,normal
51,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,272,114,42039,213034281838.0,3500000000.0,0.0,normal
52,KT1CAYNQGvYSF5UvHK21grMrKpe2563w9UcX,659,652,31219,788297700348.0,37028557190.0,0.0,normal
53,KT1K8A8DLUTVuHaDBCZiG6AJdvKJbtH8dqmN,785,979,65173,806370199254.0,9315942782.0,0.0,normal
54,KT1Wjadao8AXkwNQmjstbPGtLd1ZrUyQEDX7,304,466,51324,701966600724.0,12619086338.0,0.0,normal
55,tz1NZEtFkr2guKjpWcTpf4wxZhRhfcqZSkAE,479,48,32504,25988452989.0,80000000.0,0.0,normal
56,KT1D36ZG99YuhoCRZXLL86tQYAbv36bCq9XM,11,1485,64156,0.0,0.0,0.0,normal
57,tz1LonSbajvsh48sEp35EHrYNAWi6hUXz1vX,3898,2,261209,1012753553412.0,3235000000.0,1.0,normal
58,tz1cNARmnRRrvZgspPr2rSTUWq5xtGTuKuHY,3157,10,396515,2149148818792.0,121979270000.0,0.0,normal
59,KT1QQvdg7TGZAH85HtgNvQuoekNRegvQPk8R,15,107,69476,0.0,0.0,0.0,normal
60,KT1UefQz7nP8BuuDk5Dd5LWo22N1ZPB7JB5o,42,119,90464,0.0,0.0,0.0,normal
61,tz1TDSi2iE2pAzvTAXKq6raSbDuPiShh5wgu,2087,4,38521,177997742600.0,1864082581.0,0.0,normal
62,tz1XsWbqRewq6tZEgVQyXxeMDv3TkxT4JLks,418,1,46823,172369391445.0,718000000.0,1.0,normal
63,KT1D9PA7tvuCe9XnDskd2F67XwdrT4ueqjGe,2985,3692,235039,723892890828.0,2678325121.0,0.0,normal
64,KT1WGDVRnff4rmGzJUbdCRAJBmYt12BrPzdD,2,13940,398556,121243750000.0,400000000.0,25000.0,normal
65,tz1ireAfmR8vzY3uVy2pbSBTQLadJftfr4Xk,3,2,48252,6400000.0,5300000.0,0.0,normal
66,KT1JyCbTDUgoBcErvipCsye6tu45pjUViSr2,1,4,212361,0.0,0.0,0.0,normal
