,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
138,io1cg04c73zgd39cvs99g5dqxaf2huljx3vkc6v6d,11,12,40971,2.8585124892441593e+25,5.28e+24,0.0,normal
139,io1sxggtpfvx099laj6sq87nxkn2pkzfekq0mmwg4,11,7,11698,1.2210339998203e+23,6e+21,1e+16,normal
140,io1k65lk4u4pkg34g7ayxrwdgdc7nv3umd9tapj43,14,9,26733,3.6031961296794018e+22,1.9e+21,1e+16,normal
141,io1tq9p5fexa9g3ua48qv2jj3fszntwx78u8yq06w,20,24,10003,4.317716684746329e+23,3.8e+22,1e+16,normal
142,io1fqulsuv8p820wmr0yd39jzx0m3pnpmuzzcywh8,3,1,2367806,4.0704124711690385e+26,5.260716626774962e+22,0.0,normal
143,io1xjtf2ltl6lcvmwev69jcstmyadr3q69vdf0nl7,11,8,20410,6.209792342763722e+25,2e+23,0.0,normal
144,io13gn2scw7hsfnxkz77qrycj3z84n8q6gh47jt5s,3,3,10167,7.534981316e+21,6e+20,1.5006e+16,normal
145,io12p2td5p5tmaqqztdejl0dqdqalmajylw57x3e8,4,2,10928,1.2602711586e+22,1.135e+21,1.5006e+16,normal
146,io1n3zwttcs8wfq8yj9c9x6uumgmjgklj5nmcx3py,3,2,24099,3.3057799896e+22,1.111e+21,1e+16,normal
147,io1am934j789qf0wlgvu57v962hs3x4zfkedgxjn0,2,3,33058,6.173703684e+21,2e+19,3.9145e+16,normal
148,io1htuxmmehxlh3s39hj6m7c0p8cc0er8kql68k8r,4,4,37629,2.504407148354e+24,5.37e+21,1e+16,normal
149,io1n9x6np9uwsr0g6gac63su4gzwzcgy2ct704nmn,356,8,38744,8.39586366087881e+24,1.2e+24,0.0,normal
150,io1u0046yp42xca8kq303vjyw4k9uddz42j33kmn7,250426,6,510771,2.819152e+22,9.944e+19,1e+16,normal
151,io1falq753554yure7desg7xj2nug0n25ud3rr4yf,404,486,28094,9.592676839219533e+24,2.404094788950006e+23,0.0,normal
152,io1eezp8uzg5sap20sar8faq4amzqtvwcqvt9qce6,26,20,22812,1.1118267528581459e+24,4e+22,0.0,normal
153,io1a68e20h0fytn5ggh37faty225ls3ym5k77d220,1001,2,19526,1.899263e+22,1e+19,1e+16,normal
154,io188hxmjwelfnxtas5nxp9nnprtkl706063gjj9h,345,4,40284,6.281256698229778e+23,4.85e+22,1e+16,normal
155,io1gva0nur662mrtf44xwxpw3er25ls0jhz5s0tyz,70,34,36161,1.1280235322271297e+24,3.5087e+22,0.0,normal
156,io1244vtlht2f6jg5pvm8utk8t860r5nw7m7aguh0,505,659,23329,2.2807899868535784e+25,8.034779104131928e+23,0.0,normal
157,io1dla3pceapauxzh8kqtypju59wjy39fuy6r7h5j,213,249,56256,2.6118375035797198e+23,6.1e+22,1e+16,normal
158,io1fyzf2k3x9udx3wka6hkhfxxyraexfqpm7k6fht,13,4,21911,1.744815100722e+22,2.4e+21,1e+16,normal
159,io1fn88lge6hyzmruh40cn6l3e49dfkqzqk3lgtq3,16,7,21059,1.13044353696e+23,3.8e+22,1e+16,normal
160,io1yjjqtktt5yh54zcum4dfj2xh4r6xatq8p8nflv,23,12,14630,1.3186518535043802e+25,1.090026e+24,0.0,normal
161,io1nywsge92s7fhv893mdu75maj06g7r78ewgy7mu,9,4,10256,7.446471231921098e+22,3.4106046982210974e+22,1e+16,normal
162,io133fqu654m9rnpu60sq8evlfnqjnkryk7jk6tjw,17,14,12397,1.9391301808650264e+22,1.68e+21,1e+16,normal
163,io1mwrryrezy6522g54hmv27srch57dp6r39dlyqk,36,26,52472,2.2048489743636276e+25,1.05e+23,1e+16,normal
164,io1tucs5f2kvf7tqe2yp3qnp69apjxa5kg2mseptg,10,5,10881,9.85944665273534e+22,2.1e+22,1e+16,normal
165,io1k5rq96d75etqprzudtv45s6w20rmwy2lu485pz,12,12,161167,2.131009924255689e+25,5e+24,0.0,normal
166,io1yz4kndd8parmfr2dpx9ghj3y9cv42cuzjmcy4k,11,9,16987,1.1697506974012254e+23,8.239e+21,1e+16,normal
167,io1tcrvlpthfcntkl0tqjknhp3xezhzrnec02xa6t,7,10,14616,2.2032332882304324e+22,1.3834005385434864e+21,198965942303851.0,normal
168,io132usex3rj8uf5yx0cgr9d3chswsvsachvc2yvt,18,10,15749,2.3543172885720335e+23,9.5e+21,1e+16,normal
169,io1np79d23dl2ugacj7gyc5tf6f89d9dscekn68k8,3,3,17568,4.161439212e+21,1.400231e+19,1e+16,normal
170,io16xh9h04s5kc07t028ce6a88uwmn0c2x5rm2wxc,8,7,11455,2.4398520898240896e+23,1.85e+22,1e+16,normal
171,io1pkl8eau98e76pdkzjd340f7u0dpuytymgq79cn,11,7,13566,1.8676667427986017e+23,2.058e+22,1e+16,normal
172,io1wa426yflk89a0y8gjnsxdnfdpm69ky68pfagxt,10,5,11781,9.05716567364e+23,5e+22,0.0,normal
173,io1dts9mnzjltcq00el59wclavujl0568epvnc8kj,7,4,54544,5.005291389382e+22,8.059e+21,1e+16,normal
174,io19nz4fnjlwdfqxmywsac4k20rn7czrz5eljemus,14,11,17341,2.5951553558076053e+23,1.5056007642914425e+22,1e+16,normal
175,io13lx4xjul2mx6f8ffrwev9znukdtn3f2askx6mg,2,1,23144,7.489788930914059e+21,7.645131552977722e+19,1e+16,normal
176,io1zlhyhzkm4wexvt5y5gt9n7t4gzfnu3sclvhqcz,1,1,27847,7.2080335360257285e+22,1.3800240298769818e+20,20471633023465.0,normal
177,io177s4vqdws5wna44ar9zkhrgx82ytentk4k2gj5,1,1,16137,2.8967402605301696e+22,3.90318e+19,3.469138663469879e+16,normal
178,io1htzrnjgfyfv8zq3ejuw03qayxhepfslrdqlukp,1,68,66390,1.6504742813887035e+23,2.5248272788274845e+22,3.0,normal
179,io1gqt3r24yeagstusc92rzjzlpdlz5rtac6mwuld,5,6,17513,1.14239658059e+22,1e+21,1e+16,normal
180,io1ez3f09ccnh0mjf69r8rde5tfu8wv55xfv4tx49,40,35,16315,4.548995366684767e+22,2.2697374669948794e+21,1e+16,normal
181,io1awqne0a7jm7f8j3q9q69ump3nztcs2886j06vg,4,2,16963,9.740835552e+21,1.17e+21,1e+16,normal
182,io1skczngq77r0kmjjmzl0dwtfvaewc8zzg8tjgcj,51,28,53162,1.5361710837390473e+26,6.6e+22,0.0,normal
183,io12m2nvusd7r03hv7twekhapj3w4mu2lxn80dk85,3,2,15090,2.0009994e+21,1.65949e+21,0.0,normal
184,io1z0e2dv2nlj665wy4ljc6gahtm9zymlkh4ydvst,63,34,15040,3.2101384061369807e+24,1.7185e+23,0.0,normal
185,io1q3nk3660z5yr2fsktheulnku88ygjqckaxn4d4,17,11,10687,3.4460806000315753e+22,1.5e+21,1e+16,normal
186,io1709uw00dmwtxyktt743u5ej4lt929lkmjc0lyg,8,9,16952,3.369195906256019e+23,1e+23,0.0,normal
187,io1yesjzntrqz297zsnuc5l7kj2z6jzzg80pfc3j5,9,7,21810,4.35941416381334e+22,2.7e+21,1e+16,normal
188,io1dffxukfsdt55wpqr0qf3m23nxcjnwwu4mw9h24,13,11,14463,4.115465641094216e+22,2.5004848e+21,1e+16,normal
189,io10qnrkchycrq0e0f9ux7ry9w6urd7pwsymn6x0d,7,7,19890,1.6101345866454737e+23,4e+21,1e+16,normal
190,io1t8axwfvescaj7acjntwqru98vvzxgeeuq2esk0,9,6,16115,3.24432034061861e+23,1.868e+22,1e+16,normal
191,io107j6genag905sh2sgparltex4cj8839s9qa2tv,2,4,14254,1.3136551822607876e+22,2.1e+21,1.491e+16,normal
192,io1e7k25um2cjsdhlq3hd6vmz83q4sn8cgu83y3d8,4,3,14242,1.1210810071e+22,2.425e+21,1e+16,normal
193,io188h4ljx7usj570yurclatykul9ncd03z94k5ez,13,10,12868,1.6275541846013586e+23,1.09e+22,1e+16,normal
194,io1r0qpy8x35tnfdekenjpylmd9fz7ne0rx6l5p0p,14,3,48361,2.8596867800279867e+22,2.54e+21,1e+16,normal
195,io1d2ar0mlqxl455l3lp5hemw6teepsze5l4pa0eh,15,13,13713,8.531669515863859e+22,1.6e+22,1e+16,normal
196,io1m6tq0aftz5yfgcg6kfdaxp606tpw8lxpqvwpq3,6,3,11963,1.8556153162e+22,2.445e+21,1e+16,normal
197,io1ye2hygqkjtd56hm4rsd9932wu6964zas9s3slh,5,2,11431,1.1374843748e+22,1.47e+21,1e+16,normal
198,io1zjlng7je02kxyvjq4eavswp6uxvfvcnh2a0a3d,5,2808,13200,0.0,0.0,0.0,normal
199,io1lag3xle340n7rq8g6kz3dz6ty7cq6hw4zg4w2g,7,11,49341,5.987501154917682e+22,8.658e+21,1e+16,normal
200,io1yf6rv5c4ajv7fe9ljqvwlr9nyehgemmnmvdusc,6,4,27583,1.3754107353371637e+22,2.102e+21,1e+16,normal
201,io1rwzlztpej7rrmzp9txhk62e00zjk94g3e063pg,2,2,25555,1.7160077858e+22,2.952e+21,1.491e+16,normal
202,io1n0vudnm6nmxxttah9fy4y2sekvllqhfamvhhta,4,2,15487,1.1316479719e+22,2.164e+21,1e+16,normal
203,io12jtj0nkjn8xyd9v9pj9d5qvmk9mknfvsgj8xfa,2,6,10521,4.394445514e+21,1.721e+21,1.491e+16,normal
204,io1e3c4mlh3y68mx7wewq43v32qpy470nm4n8ncx2,11,7,11518,8.931884667921653e+22,4.241669084205292e+21,1e+16,normal
205,io1jh933zymj69t4wu3qnes4adnzz7sql7cmlj5p9,56375,60228,967219,2.6779024795458336e+27,3.62507407609964e+25,1.0,likely anomaly
206,io17rkla3gl5r5my9p4r8zz2q08zvzpl7ljga3xrj,2983,1835,10991,2.7411753782252335e+26,1.9999999e+25,1e+16,normal
207,io12x505dpcvvzck5rfds3rmxy89nmua6hdmdjyws,8747,3,18372,4.040652e+21,4e+17,1000000000000000.0,normal
208,io1qh8zlzskdn5fcupz7rthkyumnzert5esn2p64f,67,42,43912,2.116508557229277e+24,1.4431849357705824e+22,1e+16,normal
209,io1cr675n77vnlfntxknwws2rcjhtweaqezckycu9,34,29,41719,3.075677991586982e+23,6.9e+21,0.0,normal
210,io19czfrdyjt67g9tuhmmcjkuh2m9qxzv5nqyve9p,74,26,27341,7.453980719475645e+24,2.5e+23,0.0,normal
211,io147l8du4f7vsjysl0jjupxu6ac58h76n02fdnu2,15,8,26904,2.9704757590768572e+23,2.2e+22,1e+16,normal
212,io1vdsh2z4eez5qs6qh6vsrg023pae5ryac760j99,34,18,24006,2.00220316294644e+24,1.217e+23,0.0,normal
213,io1lmkctz909wjarpyem9a98h5794gy6djpvqs7lv,92,41,16524,1.285125702441232e+24,1.9e+22,1e+16,normal
214,io169cec7xj9cc9ry0enp9cuxuwvdvytm8p5ggqkq,91,71,247758,3.6566372434318583e+24,5e+22,0.0,normal
215,io1h9gq34pv2twcdn5fgexcaptmj5x9zzf599478e,6,5,20492,1.055572665286589e+23,1.42e+22,1e+16,normal
216,io1ayhd20y5nzqh9l75cwtefhdnz4r28zlgqta4uc,10,8,14630,5.187346572681e+22,3.05e+21,1e+16,normal
217,io1c37fa429z6kyjvc49pzftsqacckjcftt7jnmsl,25,20,10242,4.575530835665078e+25,2.9e+23,1e+16,normal
218,io17yz07lzpq43pj9a5ntw4j0agsu8zzm284e0yu0,50,46,27229,1.3709639374636556e+23,4.5e+21,1e+16,normal
219,io1dq5fxzqvc7sk4qu8kj3gg59hztk4q02pmwt6l7,12,9,22271,1.7259585941225648e+23,8.05e+21,1e+16,normal
220,io12tvtghm00ljlhj5379rg0e329agt0ppujv7pu7,12,6,39064,3.927296535046285e+22,5.755957424517889e+21,0.0,normal
221,io1w9h78zvyjkzcalnj654lxu9wa040uvr7sjrkjz,100,74,18231,6.452223292164507e+25,9.07869e+23,0.0,normal
222,io1ja3kk4k9n8c4klce0hvkw3vq5ev867z5z2swd3,6,3,22661,1.6895841099561268e+22,1.1e+21,1e+16,normal
223,io1la7jnlknrrf295y2av37u3frxtprjgvpwguk0p,10,11,18466,6.255497314221793e+23,4.84e+22,0.0,normal
224,io1war7wuhry427shgdsvg9dravhfmd8leesngzxr,4,3,15353,1.297522287423091e+22,2e+21,1e+16,normal
225,io1p003hsxd6tjpuchxhchh2e35lc44s7gxqn7hpp,8,6,39404,5.079410816939485e+24,2.5e+24,1e+16,normal
226,io1wk0x2vcxa58fsh92yn8sk2xl78f0st7qk7496z,15,12,12437,3.087259948076501e+22,2.4e+21,1e+16,normal
227,io1mqh0qudvq6p4dht0r83shnfxdk9f9x2c7selyt,18,14,10935,4.776157502500724e+22,5.000782086413156e+21,1e+16,normal
228,io1eg23wyn9csvm65wm2p8pa9ks53l6k20xavv9yn,8,5,18545,1.4464382458e+22,3.03e+21,1e+16,normal
